Exercise Name,Equipment,Utility,Mechanics,Force,Preparation,Execution,Target_Muscles,Stabilizer_Muscles,Main_muscle,Difficulty (1-5),Secondary Muscles,No_of_Sets,No_of_Reps,BMI,gender,type of plan
Military Press,Barbell,Basic,Compound,Push,"Grasp barbell from rack orcleanbarbell from floor with overhand grip, slightly wider than shoulder width. Position bar in front of neck.",Press bar upward until arms are extended overhead. Lower to front of neck and repeat.,"Anterior Deltoid,","Trapezius, Upper, Levator Scapulae, ",Shoulder,4,"Lateral Deltoid, Triceps Brachii",3,10,22.17126469,female,muscle gain
Military Press:  Seated,Barbell,Basic,Compound,Push,Grasp barbell with slightly wider than shoulder width overhand grip from rack. Position bar near upper chest.,Press bar upward until arms are extended overhead. Return to upper chest and repeat.,"Anterior Deltoid,","Trapezius, Upper, Levator Scapulae, ",Shoulder,3,"Lateral Deltoid, Triceps Brachii",4,8,20.3370534,female,muscle gain
Front Raise,Cable,Auxiliary,Isolated,Push,Sit on seat above twin cable pulleys. Grasp stirrups on each side. Sit upright with arms straight down to each side with palms facing back.,Raise stirrups forward and upward until upper arms are well above horizontal. Lower and repeat.,"Anterior Deltoid,","Trapezius, Upper, Levator Scapulae, Wrist Extensors, ",Shoulder,2,"Anterior Deltoid, Serratus Anterior",4,14,20.85644096,female,muscle gain
Front Raise:  Alternating,Cable,Auxiliary,Isolated,Push,"Stand with low double pulleys behind. Grasp stirrup attachments, one in each hand. Stand away from pulley slightly with arms back somewhat at side and elbows straight or slightly bent.","Raise one stirrup forward and upward until upper arm is well above horizontal. Lower and repeat with opposite arm, alternating between arms.","Anterior Deltoid,","Trapezius, Upper, Levator Scapulae, Wrist Extensors, ",Shoulder,2,"Anterior Deltoid, Serratus Anterior",4,8,22.49157901,female,muscle gain
Front Raise:  One Arm,Cable,Auxiliary,Isolated,Push,Grasp stirrup attachment. Stand away from pulley slightly with arm back somewhat at side and elbow straight or slightly bent.,Raise stirrup forward and upward until upper arm is well above horizontal. Lower and repeat. Repeat with opposite arm.,"Anterior Deltoid,","Trapezius, Upper, Levator Scapulae, Wrist Extensors, ",Shoulder,2,"Anterior Deltoid, Serratus Anterior",5,14,22.83094423,female,muscle gain
Shoulder Press,Cable,Basic or Auxiliary,Compound,Push,Stand between two low to medium height pulleys. Grasp cable stirrups from each side. Position stirrups to each side of shoulders with elbows down to sides and stirrups above or slightly narrower than elbows.,Push stirrups upward until arms are extended overhead. Return stirrups to sides of shoulders and repeat.,"Anterior Deltoid,","Trapezius, Upper, Levator Scapulae, ",Shoulder,3,"Lateral Deltoid, Triceps Brachii",5,14,22.45992899,female,muscle gain
Shoulder Press:  Seated,Cable,Basic or Auxiliary,Compound,Push,Sit on seat and grasp stirrups from low to medium low position from each side. Position stirrups to each side of shoulders with elbows down to sides and stirrups above or slightly narrower than elbows.,Push stirrups upward until arms are extended overhead. Return stirrups to sides of shoulders and repeat.,"Anterior Deltoid,","Trapezius, Upper, Levator Scapulae, ",Shoulder,3,"Lateral Deltoid, Triceps Brachii",4,10,20.59813033,female,muscle gain
Arnold Press,Dumbbell,Basic or Auxiliary,Compound,Push,"Stand with two dumbbells position in front of shoulders, palms facing body and elbows under wrists.",Initiate movement by bringing elbows out to sides. Continue to raise elbows outward while pressing dumbbells overhead until arms are straight. Lower to front of shoulders in opposite pattern and repeat.,"Anterior Deltoid,","Trapezius, Upper, Levator Scapulae, ",Shoulder,4,"Lateral Deltoid, Triceps Brachii",5,10,22.74494758,female,muscle gain
Front Raise,Dumbbell,Auxiliary,Isolated,Push,Grasp dumbbells in both hands. Position dumbbells in front of upper legs with elbows straight or slightly bent.,Raise dumbbells forward and upward until upper arms are above horizontal. Lower and repeat.,"Anterior Deltoid,","Trapezius, Upper, Levator Scapulae, Wrist Extensors, ",Shoulder,2,"Anterior Deltoid, Serratus Anterior",3,14,21.66829257,female,muscle gain
Front Raise:  Alternating,Dumbbell,Auxiliary,Isolated,Push,Grasp dumbbells in both hands. Position dumbbells in front of upper legs with elbows straight or slightly bent.,"Raise one dumbbell forward and upward with palms positioned downward until upper arm is above horizontal. Lower and repeat with opposite arm, alternating between arms.","Anterior Deltoid,","Trapezius, Upper, Levator Scapulae, Wrist Extensors, ",Shoulder,2,"Anterior Deltoid, Serratus Anterior",4,13,20.62668367,female,muscle gain
Shoulder Press,Dumbbell,Basic,Compound,Push,Position dumbbells to each side of shoulders with elbows below wrists.,Press dumbbells upward until arms are extended overhead. Lower to sides of shoulders and repeat.,"Anterior Deltoid,","Trapezius, Upper, Levator Scapulae, ",Shoulder,3,"Lateral Deltoid, Triceps Brachii",4,8,22.09976978,female,muscle gain
Shoulder Press:  One Arm,Dumbbell,Basic or Auxiliary,Compound,Push,Stand with dumbbells positioned near shoulder with elbow below wrists.,Press dumbbell upward until arm is extended overhead. Lower to side of shoulder and repeat.,"Anterior Deltoid,","Trapezius, Upper, Levator Scapulae, ",Shoulder,3,"Lateral Deltoid, Triceps Brachii",4,14,20.3478914,female,muscle gain
Military Press,Lever (plate loaded),Basic,Compound,Push,Set and grasp lever handles to each side with overhand grip.,Press lever until arms are extended upward. Lower and repeat.,"Anterior Deltoid,","Trapezius, Upper, Levator Scapulae, ",Shoulder,4,"Lateral Deltoid, Triceps Brachii",4,8,22.10475995,female,muscle gain
Reclined Shoulder Press,Lever (plate loaded),Basic,Compound,Push,Lie on back pad facing up. Grasp lever handles on each side with overhand grip.,Press lever until arms are extended. Lower and repeat.,"Anterior Deltoid,","Trapezius, Upper, Levator Scapulae, ",Shoulder,3,"Lateral Deltoid, Triceps Brachii",5,12,21.60448498,female,muscle gain
Shoulder Press,Lever (plate loaded),Basic,Compound,Push,Set and grasp lever handles to each side with overhand grip.,Press lever upward until arms are extended overhead. Lower and repeat.,"Anterior Deltoid,","Trapezius, Upper, Levator Scapulae, ",Shoulder,3,"Lateral Deltoid, Triceps Brachii",5,10,21.35492272,female,muscle gain
Reclined Shoulder Press,Lever (selectorized)​​​​​​​,Basic,Compound,Push,Lie on back pad facing up. Grasp lever handles to each side with overhand grip.,Press lever until arms are extended. Lower and repeat.,"Anterior Deltoid,","Trapezius, Upper, Levator Scapulae, ",Shoulder,3,"Lateral Deltoid, Triceps Brachii",3,13,22.84489632,female,muscle gain
Shoulder Press,Lever (selectorized)​​​​​​​,Basic,Compound,Push,Set and grasp lever handles to each side with overhand grip.,Press lever upward until arms are extended overhead. Lower and repeat.,"Anterior Deltoid,","Trapezius, Upper, Levator Scapulae, ",Shoulder,3,"Lateral Deltoid, Triceps Brachii",4,13,22.94414584,female,muscle gain
Shoulder Press:  Parallel Grip,Lever (selectorized)​​​​​​​,Basic,Compound,Push,Sit on seat and grasp parallel bar grips in front of shoulders on each side.,Press lever upward until arms are extended overhead. Lower and repeat.,"Anterior Deltoid,","Trapezius, Upper, Levator Scapulae, ",Shoulder,3,"Lateral Deltoid, Triceps Brachii",5,14,21.31347843,female,muscle gain
Shoulder Press,Sled,Basic,Compound,Push,Set and grasp lever handles to each side with overhand grip.,Press handles upward until arms are extended overhead. Lower and repeat.,"Anterior Deltoid,","Trapezius, Upper, Levator Scapulae, ",Shoulder,3,"Lateral Deltoid, Triceps Brachii",5,10,20.53198529,female,muscle gain
Shoulder Press,Smith​​​​​​​,Basic,Compound,Push,Sit on bench with bar positioned in front of shoulders. Grasp bar with wide overhand grip. Disengage bar by rotating bar back.,Press bar upward until arms are extended overhead. Lower bar to front of shoulders and repeat.,"Anterior Deltoid,","Trapezius, Upper, Levator Scapulae, ",Shoulder,3,"Lateral Deltoid, Triceps Brachii",3,12,21.079381,female,muscle gain
Pike Press (between benches),Body Weight,Basic,Compound,Push,"Kneel on two benches positioned side by side slightly apart at end nearest head. Place hands on ends of benches. With forefeet on opposite ends of bench, raise rear end high up with arms, back, and knees straight. Adjust feet so they are somewhat close to hands while keeping back and legs straight.",Lower head between ends of benches by bending arms. Push body back up to original position by extending arms. Repeat.,"Anterior Deltoid,","Trapezius, Upper, Levator Scapulae, Serratus Anterior, Quadriceps, Iliopsoas, Tensor Fasciae Latae, Sartorius, Rectus Abdominis, Obliques, ",Shoulder,4,"Anterior Deltoid, Triceps Brachii",3,11,20.68009442,female,muscle gain
Pike Press (between benches):  Elevated (between benches),Body Weight,Basic,Compound,Push,"Stand between two incline benches positioned side by side slightly apart at end nearest head. Place hands on ends of benches and straighten arms. Position forefeet on opposite ends of bench. Raise rear end high up with arms, back, and knees straight.",Lower head between ends of benches by bending arms. Push body back up to original position by extending arms. Repeat.,"Anterior Deltoid,","Trapezius, Upper, Levator Scapulae, Quadriceps, Iliopsoas, Tensor Fasciae Latae, Sartorius, Rectus Abdominis, Obliques, ",Shoulder,5,"Anterior Deltoid, Triceps Brachii",3,15,20.768524,female,muscle gain
Front Raise,Suspended,Auxiliary,Isolated,Push,"Grasp suspension handles and momentarily step back until arms are extended forward and straight. While keeping arms straight and shoulders back, step forward so body reclines back behind suspension handles. Position body and legs straight at desired angle, hanging from handles with arms straight and palms facing downward.",Raise arms upward overhead by flexing shoulders with arms straight. Return and lower body back until arms are extended straight forward in original position. Repeat.,"Anterior Deltoid,","Erector Spinae, Gluteus Maximus, Hamstrings, Trapezius, Upper, Levator Scapulae, Wrist Extensors, ",Shoulder,2,"Anterior Deltoid, Serratus Anterior",4,9,20.14776782,female,muscle gain
Upright Row,Barbell,Basic,Compound,Pull,Grasp bar with shoulder width or slightly narrower overhand grip.,Pull bar to neck with elbows leading. Allow wrists to flex as bar rises. Lower and repeat.,"Lateral Deltoid,","Trapezius, Upper, Levator Scapulae, ",Shoulder,3,"Lateral Deltoid, Upper Trapezius",4,8,22.29384953,female,muscle gain
Lateral Raise,Cable,Basic or Auxiliary,Isolated,Pull,"With low pulleys to each side, grasp left stirrup with right hand and right stirrup with left hand. Stand upright.","With elbows slightly bent, raise arms to sides   until elbows are shoulder height. Lower and repeat.","Lateral Deltoid,","Trapezius, Upper, Levator Scapulae, Wrist Extensors, ",Shoulder,2,"Lateral Deltoid, Supraspinatus",5,14,21.47303409,female,muscle gain
Lateral Raise:  One Arm,Cable,Basic or Auxiliary,Isolated,Pull,Grasp stirrup cable attachment. Stand facing with side of resting arm toward low pulley. Grasp ballet bar if available.,"With elbow slightly bent, raise arm to side away from low pulley until elbow is shoulder height. Lower and repeat.","Lateral Deltoid,","Trapezius, Upper, Levator Scapulae, Wrist Extensors, ",Shoulder,2,"Lateral Deltoid, Supraspinatus",3,14,21.03150892,female,muscle gain
Upright Row,Cable,Basic,Compound,Pull,Grasp cable bar with shoulder width or slightly narrower overhand grip. Stand close to pulley.,Pull bar to neck with elbows leading. Allow wrists to flex as bar rises. Lower and repeat.,"Lateral Deltoid,","Trapezius, Upper, Levator Scapulae, ",Shoulder,3,"Lateral Deltoid, Upper Trapezius",4,9,20.68886444,female,muscle gain
Upright Row:  One Arm,Cable,Basic or Auxiliary,Compound,Pull,"Grasp stirrup on low pulley with overhand grip. Stand with side of arm with stirup away from pulley machine, arm against front of body. Place other hand on ballet bar or side of pulley column for support.",Pull stirup to front side of shoulder with elbow leading. Allow wrist to flex as stirrup is lifted. Lower and repeat.,"Lateral Deltoid,","Trapezius, Upper, Levator Scapulae, ",Shoulder,3,"Lateral Deltoid, Upper Trapezius",4,8,21.51605461,female,muscle gain
Upright Row:  with rope,Cable,Basic,Compound,Pull,"Grasp each side of rope with overhand grip, just under rope ends. Stand close to pulley.",Pull rope ends to front of shoulders with elbows leading. Allow wrists to flex as stirrups are lifted. Lower and repeat.,"Lateral Deltoid,","Trapezius, Upper, Levator Scapulae, ",Shoulder,3,"Lateral Deltoid, Upper Trapezius",4,10,22.15743585,female,muscle gain
Y Raise,Cable,Auxiliary,Isolated,Pull,"Stand facing between low pulleys medium width apart, grasp left stirrup with right hand and right stirrup with left hand. Step back slightly away from pulleys and stand upright with cables crossed in front of hips.","With elbows slightly bent, raise arms upward and outward to sides in Y configuration until elbows are approximately lateral to each ear. Lower stirrups forward and downward in reverse pattern. Repeat.","Lateral Deltoid,","Trapezius, Upper, Levator Scapulae, Wrist Extensors, Erector Spinae, Gluteus Maximus, Hamstrings, ",Shoulder,3,"Posterior Deltoid, Lower Trapezius",4,15,22.91456388,female,muscle gain
Incline Lateral Raise,Dumbbell,Auxiliary,Isolated,Pull,"Grasp dumbbell in one hand. Lie on 30° to 45° incline bench with opposite side of body on incline, arm over top of bench, lower leg positioned on front side of seat, and upper leg on back side of seat. Position dumbbell inside of lower leg, just in front of upper leg.","With elbows slightly bent, raise arms upward and outward to sides in Y configuration until elbows are approximately lateral to each ear. Lower stirrups forward and downward in reverse pattern. Repeat.","Lateral Deltoid,","Wrist Extensors, Trapezius, Upper, Levator Scapulae, ",Shoulder,3,"Lateral Deltoid, Supraspinatus",5,9,20.79015834,female,muscle gain
Lateral Raise,Dumbbell,Basic or Auxiliary,Isolated,Pull,Grasp dumbbells in front of thighs with elbows slightly bent. Bend over slightly with hips and knees bent slightly.,Raise upper arms to sides until slightly bent elbows are shoulder height while maintaining elbows' height above or equal to wrists. Lower and repeat.,"Lateral Deltoid,","Trapezius, Upper, Levator Scapulae, Wrist Extensors, ",Shoulder,2,"Lateral Deltoid, Supraspinatus",3,10,20.30594162,female,muscle gain
Upright Row,Dumbbell,Basic,Compound,Pull,Grasp dumbbells and stand with palms facing front of thighs.,Pull dumbbells to front of shoulder with elbows leading out to sides. Allow wrists to flex as dumbbells rise upward. Lower and repeat.,"Lateral Deltoid,","Trapezius, Upper, Levator Scapulae, ",Shoulder,3,"Lateral Deltoid, Upper Trapezius",3,15,22.72733237,female,muscle gain
Upright Row:  One Arm,Dumbbell,Basic,Compound,Pull,Grasp dumbbells with palms facing front of thighs. Position other hand for support.,Pull dumbbell to front of shoulder with elbow leading. Allow wrist to flex as dumbbell rises upward. Lower and repeat. Continue with opposite arm.,"Lateral Deltoid,","Trapezius, Upper, Levator Scapulae, ",Shoulder,3,"Lateral Deltoid, Upper Trapezius",4,13,22.69406504,female,muscle gain
Lateral Raise,Lever (plate loaded),Basic or Auxiliary,Isolated,Pull,Sit in machine. Situate bent arms between padded lever and sides of body.,Raise arms to sides until upper arms are horizontal. Return and repeat.,"Lateral Deltoid,","Trapezius, Upper, Levator Scapulae, ",Shoulder,2,"Lateral Deltoid, Supraspinatus",3,12,20.76698666,female,muscle gain
Lateral Raise,Lever (selectorized),Basic or Auxiliary,Isolated,Pull,Sit in machine. Situate bent arms between padded lever and sides of body. Grasp handles if available.,Raise arms to sides until upper arms are horizontal. Return and repeat.,"Lateral Deltoid,","Trapezius, Upper, Levator Scapulae, ",Shoulder,2,"Lateral Deltoid, Supraspinatus",4,11,20.13773563,female,muscle gain
Lateral Raise:  other machine,Lever (selectorized),Basic or Auxiliary,Isolated,Pull,Sit in machine. Situate bent arms between padded lever and sides of body. Grasp handles if available.,Raise arms to sides until upper arms are horizontal. Return and repeat.,"Lateral Deltoid,","Trapezius, Upper, Levator Scapulae, ",Shoulder,2,"Lateral Deltoid, Supraspinatus",4,9,21.95582018,female,muscle gain
Upright Row​​​​​​​,Smith,Basic,Compound,Pull,Stand behind bar mid-thigh height. Grasp bar with shoulder width or slightly narrower overhand grip. Disengage bar by rotating bar back and stand upright.,Pull bar to neck with elbows leading. Allow wrists to flex as bar rises. Lower and repeat.,"Lateral Deltoid,","Trapezius, Upper, Levator Scapulae, ",Shoulder,3,"Lateral Deltoid, Upper Trapezius",5,10,22.93786804,female,muscle gain
Y Raise,Suspended,Auxiliary,Isolated,Pull,"Grasp suspension handles and momentarily step back until arms are extended forward and straight. While keeping arms straight and shoulders back, step forward so body reclines back behind suspension handles. Position body and legs straight at desired angle hanging from handles with arms straight and palms angled inward.",Raise arms upward and outward in shape of a Y while keeping arms straight. Return and lower body back in opposite motion until arms are extended straight forward in original position. Repeat.,"Lateral Deltoid,","Erector Spinae, Gluteus Maximus, Hamstrings, Trapezius, Upper, Levator Scapulae, Wrist Extensors, ",Shoulder,3,"Posterior Deltoid, Lower Trapezius",4,12,22.02021721,female,muscle gain
Rear Delt Row,Barbell,Basic or Auxiliary,Compound,Pull,"Bend knees slightly and bend over bar with back straight, approximately horizontal. Grasp bar with wide overhand grip.","Keeping upper arm perpendicular to torso, pull barbell up toward upper chest until upper arms are just beyond horizontal. Return and repeat.","Posterior Deltoid,","Erector Spinae, Hamstrings, Gluteus Maximus, Adductor Magnus, Quadriceps, ",Shoulder,3,"Posterior Deltoid, Rhomboids",3,15,20.08167913,female,muscle gain
Reverse Fly,Cable,Auxiliary,Isolated,Pull,Stand facing twin pulley cables positioned close together and approximately shoulder height. Grasp stirrup cable attachment in each hand. Step back away from machine so cable is taut. Stand with feet staggered. Point elbows outward with arms straight or slightly bent.,"Pull stirrups out to sides, maintaining stiff elbow position throughout exercise. Return to original position and repeat.","Posterior Deltoid,","Triceps Brachii, Wrist Extensors, Erector Spinae, ",Shoulder,2,"Posterior Deltoid, Middle Trapezius",4,9,20.72986676,female,muscle gain
Rear Delt Row,Cable,Basic or Auxiliary,Compound,Pull,"Sit slightly forward on bench or platform in order to grasp cable bar attachment. With elbow width overhand grip, straighten torso upright and slide hips back until knees are only   slightly bent.","Pull cable attachment toward upper chest, just below neck, with elbows up out to sides until elbows travel slightly behind back. Keep upper arms horizontal, perpendicular to trunk. Return until arms are extended and shoulders are stretched forward. Repeat.","Posterior Deltoid,","Erector Spinae, Hamstrings, Gluteus Maximus, Adductor Magnus, ",Shoulder,3,"Posterior Deltoid, Rhomboids",3,12,20.30979763,female,muscle gain
Rear Delt Row:  Standing Rear Delt Row (stirrups),Cable,Basic or Auxiliary,Compound,Pull,Stand facing twin pulley cables positioned shoulder height. Grasp stirrup cable attachment in each hand. Step back with one foot so arms and shoulders are positioned straight forward with cable taut. Point elbows outward.,"Pull stirrups out to sides, keeping elbows at shoulder height until elbows travel slightly behind back. Allow wrists to follow elbows. Keep upper arms horizontal, perpendicular to trunk. Return until arms are extended and shoulders are stretched forward. Repeat.","Posterior Deltoid,","Erector Spinae, ",Shoulder,3,"Posterior Deltoid, Rhomboids",5,10,21.77280211,female,muscle gain
